year,month,genre,duration,first country,second country,Is second country,first language,second language,Is second language,production company,budget,first actor age,first actor amount of movies,first actor gender,second actor age,second actor amount of movies,second actor gender,director amount of movies,average rating
1930.0,8.0,1180.0,90,1.0,-1.0,0,1.0,3.0,1,4.0,726465.0,27.0,25.0,2.0,39.0,3.0,1.0,39.0,6.8
1930.0,7.0,1536.0,102,1.0,-1.0,0,1.0,-1.0,0,1.0,337000.0,26.0,64.0,2.0,26.0,50.0,1.0,26.0,6.1
1930.0,12.0,1500.0,86,1.0,-1.0,0,1.0,-1.0,0,1.0,355000.0,26.0,64.0,2.0,40.0,16.0,1.0,47.0,6.2
1930.0,3.0,1934.0,88,1.0,-1.0,0,1.0,-1.0,0,550.0,800000.0,35.0,1.0,1.0,20.0,38.0,2.0,3.0,5.7
1930.0,8.0,1557.0,76,1.0,-1.0,0,1.0,-1.0,0,1.0,496000.0,25.0,24.0,2.0,51.0,30.0,1.0,43.0,5.9
1930.0,10.0,1557.0,75,1.0,-1.0,0,1.0,-1.0,0,7.0,423000.0,31.0,12.0,2.0,25.0,64.0,1.0,33.0,5.9
1930.0,11.0,1193.0,81,1.0,-1.0,0,1.0,-1.0,0,989.0,450000.0,26.0,27.0,2.0,31.0,2.0,1.0,10.0,6.2
1930.0,2.0,1963.0,104,1.0,-1.0,0,1.0,-1.0,0,4.0,1200000.0,33.0,1.0,1.0,27.0,25.0,2.0,2.0,5.7
1930.0,8.0,92.0,71,1.0,-1.0,0,1.0,-1.0,0,1.0,400000.0,30.0,20.0,1.0,25.0,8.0,2.0,10.0,5.6
1931.0,11.0,1472.0,84,1.0,-1.0,0,1.0,-1.0,0,7.0,400000.0,22.0,7.0,1.0,55.0,1.0,2.0,25.0,5.8
1931.0,1.0,1103.0,90,1.0,-1.0,0,1.0,3.0,1,106.0,502000.0,34.0,36.0,2.0,27.0,7.0,1.0,54.0,6.5
1931.0,9.0,1060.0,60,1.0,-1.0,0,1.0,-1.0,0,27.0,243093.0,23.0,2.0,2.0,42.0,1.0,1.0,73.0,6.6
1931.0,9.0,1178.0,68,1.0,-1.0,0,1.0,-1.0,0,7.0,281000.0,36.0,16.0,1.0,43.0,17.0,1.0,57.0,6.6
1931.0,2.0,1577.0,123,1.0,-1.0,0,1.0,3.0,1,7.0,1433000.0,38.0,35.0,1.0,33.0,39.0,2.0,25.0,5.9
1932.0,8.0,1231.0,90,4.0,-1.0,0,3.0,1.0,1,10059.0,120000.0,29.0,1.0,2.0,40.0,3.0,1.0,24.0,6.9
1931.0,5.0,1472.0,85,1.0,-1.0,0,1.0,-1.0,0,1.0,515000.0,32.0,16.0,1.0,25.0,4.0,2.0,14.0,6.2
1931.0,9.0,1103.0,81,1.0,-1.0,0,1.0,-1.0,0,454.0,394000.0,29.0,26.0,2.0,38.0,21.0,1.0,3.0,6.2
1931.0,4.0,486.0,100,1.0,-1.0,0,1.0,-1.0,0,3.0,1000000.0,43.0,12.0,1.0,24.0,24.0,2.0,31.0,6.3
1931.0,2.0,1490.0,75,1.0,-1.0,0,1.0,46.0,1,6.0,355000.0,49.0,37.0,1.0,25.0,4.0,2.0,21.0,7.5
1931.0,3.0,1490.0,104,1.0,-1.0,0,5.0,46.0,1,6.0,66000.0,39.0,1.0,1.0,21.0,2.0,2.0,7.0,7.2
1931.0,2.0,1557.0,73,1.0,-1.0,0,1.0,-1.0,0,1.0,310000.0,27.0,27.0,2.0,41.0,33.0,1.0,43.0,6.1
1932.0,3.0,1060.0,73,1.0,-1.0,0,1.0,72.0,1,2.0,201000.0,48.0,2.0,1.0,51.0,2.0,1.0,66.0,6.0
